Month,Total_Gross_Sales_Amount
September,122407.56
October,162687.57
December,245673.80
January,127574.74
February,144799.52
April,130643.90
May,139165.10
June,125735.38
August,125409.88
September,343337.17
October,440562.08
December,653944.75
January,359025.02
February,356607.17
April,379549.69
May,340152.23
June,343792.04
August,338108.88
September,808250.44
October,1092622.20
December,1488174.02
January,812929.75
February,862762.77
April,130520.92
May,145049.05
June,362545.14
August,799327.63
September,2296919.63
October,3109316.88
December,4078789.92
January,2303086.37
February,2355170.45
April,2253574.91
May,2181587.78
June,2288587.45
August,2349478.82
September,11192823.08
October,13908229.29
December,19537146.56
